SmartBroom Sweep
Ouput format;1
SweepID;8F67309E-75A5-41A6-A9CE-E61E9FBEF41F
Sweep units;Metric
SmartBroom name;SMARTBROOM LCK
SmartBroom serial;202107-25
SmartBroom hardware;1.0
SmartBroom firmware;1.1.1
Sweeper;Fullprodpilot
Notes;
Sweep start;2021-11-16 - 17:46

Date;Time (s);Push force (kg);Pull force (kg);Frequency (Hz);SPI;Temperature (ºC);Voltage (V);SOC (%);RSSI (db);;
2021-11-16 - 17:54;439.00;11.7;2.9;3.6;328;23.9;3.9;67;-48;0;0.0;
2021-11-16 - 17:54;439.50;12.6;2.7;3.6;395;23.9;3.9;67;-56;0;0.0;
2021-11-16 - 17:54;440.00;13.3;3.9;3.6;469;23.9;3.9;67;-56;0;0.0;
2021-11-16 - 17:54;440.50;12.9;4.4;3.5;409;23.9;3.9;67;-56;0;0.0;
2021-11-16 - 17:54;441.00;13.7;4.2;3.5;444;23.9;3.9;68;-56;0;0.0;
2021-11-16 - 17:54;441.50;13.3;3.6;3.5;384;23.9;3.9;68;-47;0;0.0;
2021-11-16 - 17:54;442.00;14.2;3.0;3.5;424;23.9;3.9;68;-47;0;0.0;
2021-11-16 - 17:54;442.50;14.1;2.5;3.4;382;23.9;3.9;68;-52;0;0.0;
2021-11-16 - 17:54;443.00;14.8;1.8;3.5;400;23.9;3.9;68;-53;0;0.0;
2021-11-16 - 17:54;443.50;14.4;1.6;3.5;373;23.9;3.9;68;-53;0;0.0;
2021-11-16 - 17:54;444.00;12.4;0.0;3.3;227;23.9;3.9;68;-54;0;0.0;
2021-11-16 - 17:54;444.50;11.2;3.5;3.2;299;23.9;3.9;68;-54;0;0.0;
2021-11-16 - 17:54;445.00;11.4;3.8;3.0;300;23.9;3.9;68;-56;0;0.0;
2021-11-16 - 17:54;445.50;9.7;3.9;2.9;234;23.9;3.9;68;-56;0;0.0;
2021-11-16 - 17:54;446.00;9.8;4.4;3.0;321;23.9;3.9;68;-51;0;0.0;
2021-11-16 - 17:54;446.50;10.4;4.5;3.1;341;23.9;3.9;68;-51;0;0.0;
2021-11-16 - 17:54;447.00;11.7;4.7;3.3;442;23.9;3.9;68;-58;0;0.0;
2021-11-16 - 17:54;447.50;10.8;4.9;3.3;337;23.9;3.9;68;-58;0;0.0;
2021-11-16 - 17:54;448.00;11.2;4.4;3.4;370;23.9;3.9;68;-55;0;0.0;
2021-11-16 - 17:54;448.50;10.6;4.5;3.4;347;23.9;3.9;68;-55;0;0.0;
2021-11-16 - 17:54;449.00;9.0;4.7;3.4;285;23.9;3.9;68;-53;0;0.0;
2021-11-16 - 17:55;449.50;8.5;4.4;3.4;294;23.9;3.9;68;-53;0;0.0;
2021-11-16 - 17:55;450.00;9.3;4.2;3.4;332;23.9;3.9;68;-56;0;0.0;
2021-11-16 - 17:55;450.50;8.9;4.6;3.2;278;23.9;3.9;68;-48;0;0.0;
2021-11-16 - 17:55;451.00;0.0;0.0;0.0;0;23.9;3.9;68;-48;0;0.0;
2021-11-16 - 17:55;451.50;0.0;2.0;0.0;0;23.9;3.9;68;-54;0;0.0;
2021-11-16 - 17:55;452.00;0.0;0.0;0.0;0;23.9;3.9;68;-54;0;0.0;
2021-11-16 - 17:55;485.50;0.0;0.0;0.0;0;24.0;3.9;67;-52;0;0.0;
2021-11-16 - 17:55;486.00;9.0;0.0;0.0;0;24.0;3.9;67;-60;0;0.0;
2021-11-16 - 17:55;486.50;9.5;4.5;3.9;391;24.0;3.9;67;-60;0;0.0;
2021-11-16 - 17:55;487.00;10.8;4.8;3.8;452;24.0;3.9;67;-59;0;0.0;
2021-11-16 - 17:55;487.50;10.9;5.6;3.8;451;24.0;3.9;67;-59;0;0.0;
2021-11-16 - 17:55;488.00;10.7;6.1;3.8;443;24.0;3.9;67;-55;0;0.0;
2021-11-16 - 17:55;488.50;11.3;6.0;3.8;474;24.0;3.9;67;-55;0;0.0;
2021-11-16 - 17:55;489.00;11.7;6.0;3.8;466;24.0;3.9;67;-51;0;0.0;
2021-11-16 - 17:55;489.50;11.8;5.5;3.7;433;24.0;3.9;67;-51;0;0.0;
2021-11-16 - 17:55;490.00;12.2;6.0;3.7;488;24.0;3.9;67;-56;0;0.0;
2021-11-16 - 17:55;490.50;11.6;6.0;3.7;437;24.0;3.9;67;-56;0;0.0;
2021-11-16 - 17:55;491.00;12.3;5.5;3.7;467;24.0;3.9;67;-63;0;0.0;
2021-11-16 - 17:55;491.50;12.1;5.0;3.7;426;24.0;3.9;67;-63;0;0.0;
2021-11-16 - 17:55;492.00;11.8;5.0;3.7;429;24.0;3.9;67;-57;0;0.0;
2021-11-16 - 17:55;492.50;11.7;5.0;3.7;421;24.0;3.9;67;-57;0;0.0;
2021-11-16 - 17:55;493.00;11.8;5.0;3.7;433;24.0;3.9;67;-54;0;0.0;
2021-11-16 - 17:55;493.50;11.7;5.0;3.7;432;24.0;3.9;67;-54;0;0.0;
2021-11-16 - 17:55;494.00;11.3;4.8;3.7;391;24.0;3.9;67;-64;0;0.0;
2021-11-16 - 17:55;494.50;11.2;4.9;3.6;398;24.0;3.9;67;-64;0;0.0;
2021-11-16 - 17:55;495.00;10.8;4.9;3.5;370;24.0;3.9;67;-57;0;0.0;
2021-11-16 - 17:55;495.50;10.9;4.7;3.5;372;24.0;3.9;67;-50;0;0.0;
2021-11-16 - 17:55;496.00;9.7;4.3;3.4;291;24.0;3.9;67;-50;0;0.0;
2021-11-16 - 17:55;496.50;10.3;4.7;3.4;382;24.0;3.9;67;-65;0;0.0;
2021-11-16 - 17:55;497.00;10.7;4.8;3.4;376;24.0;3.9;67;-65;0;0.0;
2021-11-16 - 17:55;497.50;10.8;4.9;3.4;378;24.0;3.9;67;-55;0;0.0;
2021-11-16 - 17:55;498.00;9.9;5.0;3.4;328;24.0;3.9;67;-55;0;0.0;
2021-11-16 - 17:55;498.50;8.9;5.0;3.4;308;24.0;3.9;67;-56;0;0.0;
2021-11-16 - 17:55;499.00;10.0;5.0;3.4;375;24.0;3.9;67;-56;0;0.0;
2021-11-16 - 17:55;499.50;10.5;5.0;3.4;370;24.0;3.9;67;-56;0;0.0;
2021-11-16 - 17:55;500.00;11.0;5.0;3.3;373;24.0;3.9;67;-56;0;0.0;
2021-11-16 - 17:55;500.50;10.5;5.0;3.3;351;24.0;3.9;67;-56;0;0.0;
2021-11-16 - 17:55;501.00;9.7;4.5;3.4;316;24.0;3.9;67;-56;0;0.0;
2021-11-16 - 17:55;501.50;10.1;4.7;3.4;367;24.0;3.9;67;-53;0;0.0;
2021-11-16 - 17:55;502.00;9.6;4.6;3.4;322;24.0;3.9;67;-55;0;0.0;
2021-11-16 - 17:56;502.50;10.8;5.1;3.4;424;24.0;3.9;67;-55;0;0.0;
2021-11-16 - 17:56;503.00;10.6;5.0;3.5;380;24.0;3.9;67;-54;0;0.0;
2021-11-16 - 17:56;503.50;10.3;5.3;3.5;377;24.0;3.9;67;-54;0;0.0;
2021-11-16 - 17:56;504.00;9.9;5.1;3.6;361;24.0;3.9;67;-63;0;0.0;
2021-11-16 - 17:56;504.50;9.9;4.8;3.5;354;24.0;3.9;67;-63;0;0.0;
2021-11-16 - 17:56;505.00;8.5;0.0;3.4;155;24.0;3.9;67;-53;0;0.0;
2021-11-16 - 17:56;505.50;0.0;0.0;0.0;0;24.0;3.9;67;-53;0;0.0;
2021-11-16 - 17:56;518.50;0.0;0.0;0.0;0;24.1;3.9;67;-58;0;0.0;
